Photon Energy / eV,3s,3p,4s,3d,4p,5s,4d,5p,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
13.80873128538676,,,,,,,,4.787946393434327,,,,,,,,,,
13.827170234551529,,,,,,,,4.767917103850625,,,,,,,,,,
13.845633805445788,,,,,,,,4.7479716022645855,,,,,,,,,,
13.8641220309472,,,,,,,,4.728109538168096,,,,,,,,,,
13.882634943977331,,,,,,,,4.708330562519309,,,,,,,,,,
13.901172577501706,,,,,,,,4.6886343277365174,,,,,,,,,,
13.919734964529876,,,,,,,,4.669020487692039,,,,,,,,,,
13.938322138115451,,,,,,,,4.649488697706157,,,,,,,,,,
13.956934131356197,,,,,,,,4.6300386145410215,,,,,,,,,,
13.97557097739407,,,,,,,,4.61066989639465,,,,,,,,,,
13.994232709415282,,,,,,,,4.591382202894908,,,,,,,,,,
14.012919360650356,,,,,,,,4.572175195093537,,,,,,,,,,
14.03163096437419,,,,,,,,4.553048535460186,,,,,,,,,,
14.050367553906112,,,,,,,,4.534001887876488,,,,,,,,,,
14.069129162609945,,,,,,,,4.51503491763015,,,,,,,,,,
14.087915823894063,,,,,,,,4.4961472914090725,,,,,,,,,,
14.106727571211445,,,,,,,,4.477338677295493,,,,,,,,,,
14.12556443805975,,,,,,,,4.4586087447601495,,,,,,,,,,
14.144426457981355,,,,,,,,4.439957164656477,,,,,,,,,,
14.163313664563443,,,,,,,,4.421383609214812,,,,,,,,,,
14.182226091438022,,,,,,,,4.402887752036662,,,,,,,,,,
14.201163772282028,,,,,,,,4.384469268088929,,,,,,,,,,
14.220126740817363,,,,,,,,4.366127833698221,,,,,,,,,,
14.239115030810957,,,,,,,,4.347863126545166,,,,,,,,,,
14.258128676074826,,,,,,,,4.329674825658737,,,,,,,,,,
14.27716771046614,,,,,,,,4.311562611410619,,,,,,,,,,
14.296232167887277,,,,,,,,4.29352616550959,,,,,,,,,,
14.315322082285887,,,,,,,,4.275565170995925,,,,,,,,,,
14.334437487654945,,,,,,,,4.257679312235831,,,,,,,,,,
14.353578418032827,,,,,,,,4.239868274915896,,,,,,,,,,
